Part,Value,Device,Package,Vendor,Vendor PN,Manufacturer PN,Qty,Unit Price @ Qty,Part Price,TOTAL: 
C1,1uF,C-USC0603,C0603,,, ,1,,0,119.3412
"C2, C9, C10, C17, C29, C35",10uF,C-USC0805,C0805,DK,490-1709-1-ND,GRM21BR61A106KE19L,6,0.36,2.16,
"C3, C4, C11, C12, C13, C14, C21, C22, C23, C25, C28, C30, C33, C38, C39, C40, C41, C42, C45, C48, C49, C55, C56",0.1uF,C-USC0603,C0603,DK,490-1524-1-ND,GRM188R71E104KA01D,23,0.089,2.047,
"C5, C6",18pF,C-USC0603,C0603,,, ,2,,0,
C7,290pF,C-USC0603,C0603,,, ,1,,0,
C8,100uF,C-USC0805,C0805,,, ,1,,0,
"C15, C52",22uF,CAP_,AXIAL-5MM,,, ,2,,0,
C16,4.7uF,CAP_,AXIAL-5MM,,, ,1,,0,
C18,0.01uF,C-USC0603,C0603,,, ,1,,0,
"C19, C24",4.7uF,C-USC0805,C0805,DK,490-3335-1-ND,GRM21BR61E475KA12L,2,0.39,0.78,
C20,0.22uF,C-USC0603,C0603,,, ,1,,0,
C26,10nF,C-USC0603,C0603,,, ,1,,0,
C27,470nF,C-USC0603,C0603,,, ,1,,0,
"C31, C43, C46",33nF,C-USC0603,C0603,,, ,3,,0,
"C32, C44, C47",500uF,CPOL-USE2.5-6,"E2,5-6",,, ,3,,0,
C34,0.068uF,CAP_,AXIAL-5MM,,, ,1,,0,
C36,152uF,C-USC0805,C0805,,, ,1,,0,
C37,220uF,CPOL-USD,PANASONIC_D,,, ,1,,0,
C50,0.018uF,CAP_,AXIAL-5MM,,, ,1,,0,
C51,68pF,CAP_,AXIAL-5MM,,, ,1,,0,
C53,DNP,CAP_,AXIAL-5MM,,, ,1,,0,
C54,1000pF,C-USC0603,C0603,,, ,1,,0,
"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D20, D21, D22, D23, D24, D26, D27", ,CDBU0130R,D0603,DK,641-1283-1-ND,CDBU0130R,26,0.315,8.19,
"D25, D28, D29",CD-S,CD-S,D0603,,, ,3,,0,
F1,1.5A,PTCPTH,PTC,,, ,1,,0,
F2,6A,PTCPTH,PTC,,, ,1,,0,
F3,3A,PTCPTH,PTC,,, ,1,,0,
"F4, F5, F6",12A,PTCPTH,PTC,,, ,3,,0,
"IC1, IC2, IC3",VNH2SP30,VNH2SP30,MULTIPOWERSO-30,,, ,3,,0,
J1,39910-0102,39910-0102,39910-0102,DK,WM5964-ND,39910-0102,1,7.97,7.97,
"J2, J3, J4",796689-2,796689-2,796689-2,DK,A98442-ND,796689-2,3,0.77,2.31,
JARD,ARDUINO_SHIELDNO_SILK,ARDUINO_SHIELDNO_SILK,DUEMILANOVE_VIAS,,, ,1,,0,
"JP1, JP2", ,PINHD-2X10,2X10,DK,S9180-ND,SBH11-PBPC-D10-RA-BK,2,0.93,1.86,
"JP3, JP4, JP5", ,PINHD-2X6,2X06,,, ,3,,0,
"JP6, JP7, JP8", ,PINHD-1X3,1X03,,,,3,,0,
"JP9, JP10, JP11, JP12, JP14, JP15, JP16, JP17, JP18, JP19", ,M03PTH,1X03,DK,S7001-ND,PPTC031LFBN-RC,10,0.42,4.2,
JP13,SHF-105-01-L-D-SM,SHF-105-01-L-D-SM,SHF-105-01-L-D-SM,DK,HF-105-01-L-D-SM-LC-ND,HF-105-01-L-D-SM-LC,1,3.65,3.65,
"JP20, JP21, JP22, JP23, JP24", ,M02PTH,1X02,,, ,5,,0,
L1,68uH,L-USSLF12565,SLF12565,DK,445-3849-1-ND,SLF12565T-680M2R0-H,1,2.13,2.13,
L2,4.7uH,L-US0207/5V,0207/5V,DK,DN7773-ND,4590R-472K,1,3.83,3.83,
L3,3.3uH,L-USPANASONIC_ELL6,PANASONIC_ELL6,DK,PCD1365CT-ND,ELL-6SH3R3M,1,1.13,1.13,
L4,15uH,L-USIHLP-3232DZ,IHLP-3232DZ,DK,541-1347-1-ND,IHLP3232DZER150M11,1,1.85,1.85,
"LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8", ,LEDCHIPLED_0603,CHIPLED_0603,,, ,8,,0,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q13, Q14, Q18, Q19, Q20, Q21, Q22, Q23, Q24, Q26, Q27, Q28, Q29",DMG1012UW,MOSFET-NCHANNELSMD,SOT23-3,DK,DMG1012UW-7DICT-ND,DMG1012UW-7,25,0.3,7.5,
"Q15, Q16",IRF7509,"IRF7509"",MICRO8""", ,DK,IRF7509TRPBFCT-ND,IRF7509TRPBF,2,0.84,1.68,
"Q17, Q25, Q30",NCH,MOSFET-NCHANNELPTH2,TO220V,,, ,3,,0,
Q31,IRLML2402,MOSFET-NCHANNELSMD,SOT23-3,DK,IRLML2402GTRPBFCT-ND,IRLML2402GTRPBF,1,0.41,0.41,
Q32,IRLML6402,MOSFET-PCHANNELSMD,SOT23-3,DK,IRLML6402PBFCT-ND,IRLML6402TRPBF,1,0.57,0.57,
R1,2R2,R-US_R0603,R0603,,, ,1,,0,
R3,2.2M,R-US_R0603,0603-RES,DK,P2.20MHCT-ND,ERJ-3EKF2204V,1,0.04,0.04,
R4,470,R-US_R0603,0603-RES,DK,P470HCT-ND,ERJ-3EKF4700V,1,0.04,0.04,
"R2, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R40, R76, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99, R106, R108, R109, R118, R122, R123, R124, R125, R134, R147, R150",10K,R-US_R0603,R0603,DK,P10.0KHCT-ND,ERJ-3EKF1002V,59,0.0138,0.8142,
"R36, R78, R119, R135",100K,R-US_R0603,R0603,DK,P100KHCT-ND,ERJ-3EKF1003V,4,0.04,0.16,
R37,1.96K,RESISTORPTH-1/6W,1/6W-RES,,, ,1,,0,
R38,221K,RESISTORPTH-1/6W,1/6W-RES,,, ,1,,0,
R39,4.7K,R-US_R0603,R0603,DK,P4.70KHCT-ND,ERJ-3EKF4701V,1,0.04,0.04,
"R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64",200,R-US_R0603,R0603,DK,P200HCT-ND,ERJ-3EKF2000V,24,0.04,0.96,
"R65, R66, R67, R68, R100, R101, R102, R103, R104, R105",100,R-US_R0603,R0603,DK,P100HCT-ND,ERJ-3EKF1000V,10,0.04,0.4,
"R69, R70, R71, R72, R75, R110, R111, R112, R113, R117, R126, R127, R128, R129, R133",1K,R-US_R0603,R0603,DK,P1.00KHCT-ND,ERJ-3EKF1001V,15,0.04,0.6,
"R73, R74, R115, R116, R131, R132",3.3K,R-US_R0603,R0603,DK,P3.30KHCT-ND,ERJ-3EKF3301V,6,0.04,0.24,
"R77, R114, R130",1.5K,R-US_R0603,R0603,DK,P1.50KHCT-ND,ERJ-3EKF1501V,3,0.04,0.12,
"R79, R80, R120, R121",2.7K,R-US_R0603,R0603,DK,P2.70KHCT-ND,ERJ-3EKF2701V,4,0.04,0.16,
R81,11K,R-US_R0603,R0603,DK,P11.0KHCT-ND,ERJ-3EKF1102V,1,0.04,0.04,
R82,18K,R-US_R0603,R0603,DK,P18.0KHCT-ND,ERJ-3EKF1802V,1,0.04,0.04,
R83,0.3,R-US_R0402,R0402,DK,P.30AKCT-ND,ERJ-2BQFR30X,1,0.59,0.59,
R84,1.8K,R-US_R0603,R0603,DK,P1.80KHCT-ND,ERJ-3EKF1801V,1,0.04,0.04,
R85,6.8K,R-US_R0603,R0603,DK,P6.80KHCT-ND,ERJ-3EKF6801V,1,0.04,0.04,
R107,3.24K,R-US_R0603,R0603,DK,P3.24KHCT-ND,ERJ-3EKF3241V,1,0.04,0.04,
"R136, R137, R138, R139, R140, R141, R142, R143", ,R-US_R0603,R0603,DK,, ,8,,0,
R144,47K,R-US_R0603,R0603,DK,P47.0KHCT-ND,ERJ-3EKF4702V,1,0.04,0.04,
R145,41.2K,RESISTORPTH-1/6W,1/6W-RES,DK,, ,1,,0,
R146,66.5K,RESISTORPTH-1/6W,1/6W-RES,DK,, ,1,,0,
R148,330K,R-US_R0603,R0603,DK,P330KHCT-ND,ERJ-3EKF3303V,1,0.04,0.04,
R149,39K,R-US_R0603,R0603,DK,P39.0KHCT-ND,ERJ-3EKF3902V,1,0.04,0.04,
U1,XS1-L2-SPLIT,XS1-L2-SPLIT,124QFN,DK,880-1004-ND,XS1-L02A-QF124-C4,1,15.1,15.1,
U2,STM32L15XVX,STM32L15XVX,LQFP100,DK,497-11194-ND,STM32L151V8T6,1,6.6,6.6,
U3,NC7SZU04,"INVERTER""",SC70,DK,NC7SZU04M5XCT-ND,NC7SZU04M5X,1,0.5,0.5,
U4,SST25VF010A,25LC080SN,SO-08,DK,SST25VF010A-33-4I-SAE-ND,SST25VF010A-33-4I-SAE,1,0.79,0.79,
U5,MC34063SMD,MC34063SMD,SO08,DK,497-7851-1-ND,MC34063EBD-TR,1,0.67,0.67,
U6,TPS54620,TPS54620,S-PVQFN-N14,DK,296-24554-1-ND,TPS54620RGYR,1,6.63,6.63,
U7,FAN2012,FAN2012,MLP6,DK,FAN2012MPXCT-ND,FAN2012MPXCT,1,1.67,1.67,
U8,TPS5431,TPS5431,R-PDSO-G08,DK,296-19662-5-ND,TPS5431DDA,1,5.88,5.88,
U9,MCP23017SS,MCP23017SS,SSOP28,DK,MCP23017-E/SS-ND,MCP23017-E/SS,1,1.51,1.51,
U10,NCP303LSN09,NCP303LSN09,SOT23-5,,, ,1,,0,NON STOCK
U11,NC7WZ07,NC7WZ07,SC70-6,DK,NC7WZ07P6XCT-ND,NC7WZ07P6X,1,0.47,0.47,
U12,HMC5883LSMD,HMC5883LSMD,16LPCC,DK,342-1082-1-ND,HMC5883L-TR,1,3.79,3.79,
U13,MMA845XQ,MMA845XQ,VQFN-16,DK,MMA8452QT-ND,MMA8452QT,1,1.57,1.57,
U14,L3G4200D,L3G4200D,LGA16-4X4,DK,497-11071-1-ND,L3G4200DTR,1,12.95,12.95,
X1,MINI-USB-UX60-MB-5S8,MINI-USB-UX60-MB-5S8,UX60-MB-5S8,SFE,PRT-00587,MUSB-05-X-D-SM-A,1,1.5,1.5,
X2,USD-SOCKETNEW,USD-SOCKETNEW,MICRO-SD-SOCKET-PP,DK,HR1964CT-ND,DM3AT-SF-PEJM5,1,2.96,2.96,
Y1,20M,CRYSTALHC49US,HC49US,,, ,1,,0,
